,BERT,BERT (Norm.),Feed Forward Embeddings,Feed Forward Embeddings (Norm.),Feed Forward Token Counts,Feed Forward Token Counts (Norm.),Linear Regression Embeddings,Linear Regression Embeddings (Norm.),Linear Regression Token Counts,Linear Regression Token Counts (Norm.),SemScale (ONLY Norm.),Wordfish (ONLY Norm.),Wordscores,Wordscores (Norm.)
MSE (Avg) EuroParl 6th Legislation,0.15779024117309046,0.28348945721970503,0.2575417196205009,0.19885537422872207,0.4096386193332212,0.32200255606494144,0.12910125196943306,0.1732572264527321,0.7106541457878597,0.28348945721970503,0.16224618414860842,0.2808392550830948,0.12664531891391206,0.15536658732705144
MSE (Std) EuroParl 6th Legislation,0.011385234873389216,0.013460060324827938,0.0916566149593844,0.04111225018318167,0.010741955944090777,0.011598642035530154,0.0008622942120484339,0.011790912482413264,0.5008824711628291,0.013460060324827938,0.052948380297320935,0.007554156924610006,0.0012056282400157575,0.04552076444871564
Pearson Corr. (Avg) EuroParl 6th Legislation,0.1258452841991648,0.1258452872910562,0.3926562656926604,0.3919409635203197,0.3073741817927499,0.30737404465557605,0.3619238100191019,0.3619238422059981,0.4413948178205003,0.4413948178205003,0.2934044623125633,-0.1690647804853505,0.4237042823627883,0.4237042823627883
Pearson Corr. (Std) EuroParl 6th Legislation,0.3897202048319467,0.3897201317048468,0.354045533947166,0.35874092704109245,0.08534952923628776,0.0853500217470577,0.2274850762435339,0.22748539626623515,0.4764755233172498,0.4764755233172499,0.14999144344204698,0.012244444545184585,0.05041775882569893,0.05041775882569896
Spearman Corr. (Avg) EuroParl 6th Legislation,0.2638081105239679,0.2638081105239679,0.39333634904975584,0.39333634904975584,0.3065022173431681,0.3065022173431681,0.2656382770156337,0.2656382770156337,0.3778436509351013,0.3778436509351013,0.493853544153914,-0.107257242694101,0.23676306242342965,0.23676306242342965
Spearman Corr. (Std) EuroParl 6th Legislation,0.4425311596770096,0.4425311596770096,0.3651117013234036,0.3651117013234036,0.13065849624664194,0.13065849624664194,0.2936987220381658,0.2936987220381658,0.3706135979487668,0.3706135979487668,0.0636514468309769,0.04362087905773737,0.008691483031115846,0.008691483031115846
MSE (Avg) EuroParl 5th Legislation,0.1578849204965453,0.2236691933772532,0.28011246014204705,0.20768633515478985,0.36814671212169103,0.3294471924049143,0.10129424104007327,0.15118131689420858,0.3251279159581329,0.2236691933772532,0.19885380582530984,0.2079491030170179,0.1013894206341588,0.14948457552480612
MSE (Std) EuroParl 5th Legislation,0.026409298160224345,0.06269874849978123,0.1144744236680907,0.027645487343896963,0.002865184823354683,0.035860577866267146,0.0033486968202290556,0.02721465548211644,0.19283519461637508,0.06269874849978123,0.09470343512102017,0.07650116008111679,0.0035773842599164172,0.016303333123620006
Pearson Corr. (Avg) EuroParl 5th Legislation,0.1571585373012995,0.1571585514629097,0.3054862833916521,0.30548628542875106,0.11367390977668924,0.1136739105265882,0.3773321187863224,0.3773324406627461,0.3038426013008973,0.3038426013008972,-0.05815019082912196,-0.050712273256251744,0.17193129259950382,0.1719312925995038
Pearson Corr. (Std) EuroParl 5th Legislation,0.39067784213414,0.39067792448897454,0.3791502969348451,0.3791502797595032,0.27724624769675754,0.27724624776355783,0.3546116973901837,0.35461273488257805,0.3348765028023127,0.33487650280231235,0.4146905875397179,0.3700783471787822,0.06533211834795581,0.06533211834795581
Spearman Corr. (Avg) EuroParl 5th Legislation,0.10050538424531408,0.10050538424531408,0.4054440290919685,0.4054440290919685,0.17916112390410316,0.17916112390410316,0.3511827576948871,0.3511827576948871,0.333535826179995,0.333535826179995,-0.05989010989010993,-0.1475409509347098,0.19831486686982547,0.19831486686982547
Spearman Corr. (Std) EuroParl 5th Legislation,0.532366938116614,0.532366938116614,0.3892278342576626,0.3892278342576626,0.4403093306680463,0.4403093306680463,0.28268612779983204,0.28268612779983204,0.2442201644709787,0.2442201644709787,0.4170329670329671,0.34396952236328115,0.02688629544125405,0.02688629544125405
MSE (Avg) EuroParl 5th & 6th Legislation,0.0975623890772192,0.1500770936669647,0.2986761998863285,0.19208383776053609,0.3240162488927259,0.28467071094513596,0.0874712377011554,0.12172935414824115,0.2181011537921589,0.1500770936669647,0.10797628661604597,0.16559962477055115,0.08662563716822255,0.0983078590243191
MSE (Std) EuroParl 5th & 6th Legislation,0.015161656122058685,0.0008679978197650984,0.009533515288303956,0.01313156055925864,0.03681398943687346,0.05451248204551859,0.006829438760394185,0.009879159520719674,0.05689177829702444,0.0008679978197650984,0.014554320579278369,0.03784425097927857,0.007451925707276666,0.02166376455853811
Pearson Corr. (Avg) EuroParl 5th & 6th Legislation,0.3914641006329364,0.3914641522313244,0.3428902946655762,0.34289027241742426,0.2492069500114502,0.2492069514337859,0.3157350340738254,0.3157347985606989,0.2689252781854588,0.26892527818545897,-0.04556197461120248,0.05152024496362618,0.5433198257818136,0.5433198257818135
Pearson Corr. (Std) EuroParl 5th & 6th Legislation,0.4467886037662752,0.44678865299634335,0.3195046932931828,0.3195046949670716,0.13319366625412535,0.13319368534185885,0.28493743241179104,0.2849367394847726,0.2651235865601045,0.2651235865601046,0.35204327015680553,0.12476251566224715,0.04906380267753208,0.04906380267753208
Spearman Corr. (Avg) EuroParl 5th & 6th Legislation,0.3441154711523911,0.3441154711523911,0.2851787489292353,0.2851787489292353,0.2582677119125205,0.2582677119125205,0.3349885012420294,0.3349885012420294,0.11043606349632036,0.11043606349632036,-0.035302268618868426,-0.013956043956043957,0.5473748473748473,0.5473748473748473
Spearman Corr. (Std) EuroParl 5th & 6th Legislation,0.4390154060170137,0.4390154060170137,0.17059377281724644,0.17059377281724644,0.14981777360695833,0.14981777360695833,0.32273880577481384,0.32273880577481384,0.20550702549784536,0.20550702549784536,0.3834692044775647,0.15515262515262512,0.06630036630036631,0.06630036630036631
MSE (Avg) NELA-GT-2018 Left-Right,0.24704367261794125,0.2500482461291432,0.4073565217642344,0.4015384371500991,0.0942417885223652,0.09426659987623104,0.2386746821528288,0.2378419586623641,0.13071619966471498,0.2500482461291432,0.30397823855205663,0.2836156164684415,0.2279020860170003,0.18146946654498208
MSE (Std) NELA-GT-2018 Left-Right,0.017840373612348085,0.01272518118244509,0.13588716552265576,0.13224372674259974,0.0134222285774012,0.01341979038725925,0.009086890577972323,0.015841194983254404,0.012665005015524176,0.01272518118244509,0.03562027794731448,0.02324513980915743,0.0011721435705161372,0.01173488396541822
Pearson Corr. (Avg) NELA-GT-2018 Left-Right,0.13064330588083578,0.13064330473275762,,,0.3949561705309347,0.3949561712269859,0.1450830016286279,0.14508299812894299,0.34870313887707977,0.34870313887707977,-0.0016916184280801327,0.1205688923217287,0.6893958164737757,0.6893958164737758
Pearson Corr. (Std) NELA-GT-2018 Left-Right,0.13213298311647206,0.13213298128842715,,,0.3957502290550395,0.39575022970106394,0.1479861953519116,0.1479861916544383,0.3497169367057599,0.3497169367057598,0.1378512604141251,0.09485996799288413,0.028961777776983725,0.028961777776983826
