method,mean,std
Wordscores,0.08662563716822255,0.007451925707276666
Linear Regression Embeddings,0.0874712377011554,0.006829438760394185
BERT,0.0975623890772192,0.015161656122058685
Wordscores (Norm.),0.0983078590243191,0.021663764558538107
SemScale (ONLY Norm.),0.10797628661604596,0.01455432057927837
Linear Regression Embeddings (Norm.),0.12172935414824114,0.009879159520719674
BERT (Norm.),0.1500770936669647,0.0008679978197650984
Linear Regression Token Counts (Norm.),0.1500770936669647,0.0008679978197650984
Wordfish (ONLY Norm.),0.16559962477055115,0.03784425097927857
Feed Forward Embeddings (Norm.),0.19208383776053606,0.01313156055925864
Linear Regression Token Counts,0.21810115379215897,0.05689177829702444
Feed Forward Token Counts (Norm.),0.28467071094513596,0.05451248204551859
Feed Forward Embeddings,0.29867619988632854,0.009533515288303956
Feed Forward Token Counts,0.3240162488927259,0.03681398943687347
