method,mean,std
Wordscores,0.5433198257818136,0.049063802677532076
Wordscores (Norm.),0.5433198257818135,0.049063802677532076
Wordfish (ONLY Norm.),0.051520244963626186,0.12476251566224715
SemScale (ONLY Norm.),-0.04556197461120248,0.35204327015680553
BERT,0.3914641006329364,0.4467886037662752
BERT (Norm.),0.39146415223132436,0.44678865299634335
Linear Regression Token Counts,0.2689252781854588,0.26512358656010454
Linear Regression Token Counts (Norm.),0.26892527818545897,0.2651235865601046
Feed Forward Token Counts,0.2492069500114502,0.13319366625412535
Feed Forward Token Counts (Norm.),0.2492069514337859,0.13319368534185883
Linear Regression Embeddings,0.3157350340738254,0.284937432411791
Linear Regression Embeddings (Norm.),0.31573479856069886,0.2849367394847726
Feed Forward Embeddings,0.3428902946655762,0.31950469329318276
Feed Forward Embeddings (Norm.),0.34289027241742426,0.3195046949670716
