method,mean,std
Wordscores,0.5473748473748473,0.06630036630036631
Wordscores (Norm.),0.5473748473748473,0.06630036630036631
Wordfish (ONLY Norm.),-0.013956043956043954,0.15515262515262512
SemScale (ONLY Norm.),-0.035302268618868426,0.3834692044775647
BERT,0.3441154711523911,0.43901540601701367
BERT (Norm.),0.3441154711523911,0.43901540601701367
Linear Regression Token Counts,0.11043606349632037,0.20550702549784539
Linear Regression Token Counts (Norm.),0.11043606349632037,0.20550702549784539
Feed Forward Token Counts,0.2582677119125205,0.14981777360695833
Feed Forward Token Counts (Norm.),0.2582677119125205,0.14981777360695833
Linear Regression Embeddings,0.3349885012420294,0.32273880577481384
Linear Regression Embeddings (Norm.),0.3349885012420294,0.32273880577481384
Feed Forward Embeddings,0.28517874892923534,0.17059377281724644
Feed Forward Embeddings (Norm.),0.28517874892923534,0.17059377281724644
