method,mean,std
Linear Regression Embeddings,0.10129424104007329,0.003348696820229056
Wordscores,0.10138942063415879,0.0035773842599164177
Wordscores (Norm.),0.14948457552480612,0.016303333123620006
Linear Regression Embeddings (Norm.),0.15118131689420858,0.027214655482116438
BERT,0.1578849204965453,0.026409298160224345
SemScale (ONLY Norm.),0.19885380582530984,0.09470343512102018
Feed Forward Embeddings (Norm.),0.20768633515478985,0.027645487343896963
Wordfish (ONLY Norm.),0.2079491030170179,0.07650116008111679
BERT (Norm.),0.22366919337725322,0.06269874849978123
Linear Regression Token Counts (Norm.),0.22366919337725322,0.06269874849978123
Feed Forward Embeddings,0.28011246014204705,0.1144744236680907
Linear Regression Token Counts,0.32512791595813295,0.19283519461637508
Feed Forward Token Counts (Norm.),0.32944719240491427,0.035860577866267146
Feed Forward Token Counts,0.36814671212169103,0.002865184823354683
