method,mean,std
Wordscores,0.17193129259950382,0.06533211834795581
Wordscores (Norm.),0.1719312925995038,0.06533211834795581
Wordfish (ONLY Norm.),-0.050712273256251744,0.3700783471787822
SemScale (ONLY Norm.),-0.058150190829121956,0.4146905875397179
BERT,0.1571585373012995,0.39067784213414
BERT (Norm.),0.1571585514629097,0.39067792448897454
Linear Regression Token Counts,0.30384260130089735,0.3348765028023127
Linear Regression Token Counts (Norm.),0.3038426013008972,0.33487650280231235
Feed Forward Token Counts,0.11367390977668923,0.27724624769675754
Feed Forward Token Counts (Norm.),0.1136739105265882,0.27724624776355783
Linear Regression Embeddings,0.3773321187863224,0.35461169739018367
Linear Regression Embeddings (Norm.),0.3773324406627461,0.35461273488257805
Feed Forward Embeddings,0.30548628339165207,0.37915029693484514
Feed Forward Embeddings (Norm.),0.30548628542875106,0.3791502797595032
