method,mean,std
Wordscores,0.19831486686982547,0.02688629544125405
Wordscores (Norm.),0.19831486686982547,0.02688629544125405
Wordfish (ONLY Norm.),-0.14754095093470979,0.34396952236328115
SemScale (ONLY Norm.),-0.05989010989010993,0.417032967032967
BERT,0.10050538424531408,0.532366938116614
BERT (Norm.),0.10050538424531408,0.532366938116614
Linear Regression Token Counts,0.333535826179995,0.2442201644709787
Linear Regression Token Counts (Norm.),0.333535826179995,0.2442201644709787
Feed Forward Token Counts,0.17916112390410316,0.4403093306680463
Feed Forward Token Counts (Norm.),0.17916112390410316,0.4403093306680463
Linear Regression Embeddings,0.3511827576948871,0.28268612779983204
Linear Regression Embeddings (Norm.),0.3511827576948871,0.28268612779983204
Feed Forward Embeddings,0.4054440290919685,0.3892278342576626
Feed Forward Embeddings (Norm.),0.4054440290919685,0.3892278342576626
