method,mean,std
Wordscores,0.12664531891391206,0.0012056282400157575
Linear Regression Embeddings,0.12910125196943306,0.0008622942120484339
Wordscores (Norm.),0.15536658732705144,0.04552076444871564
BERT,0.15779024117309046,0.011385234873389216
SemScale (ONLY Norm.),0.16224618414860842,0.052948380297320935
Linear Regression Embeddings (Norm.),0.1732572264527321,0.011790912482413263
Feed Forward Embeddings (Norm.),0.19885537422872207,0.04111225018318167
Feed Forward Embeddings,0.25754171962050093,0.09165661495938439
Wordfish (ONLY Norm.),0.2808392550830948,0.007554156924610006
BERT (Norm.),0.283489457219705,0.013460060324827938
Linear Regression Token Counts (Norm.),0.283489457219705,0.013460060324827938
Feed Forward Token Counts (Norm.),0.32200255606494144,0.011598642035530154
Feed Forward Token Counts,0.4096386193332212,0.010741955944090775
Linear Regression Token Counts,0.7106541457878597,0.5008824711628291
