method,mean,std
Wordscores,0.4237042823627883,0.05041775882569893
Wordscores (Norm.),0.42370428236278834,0.05041775882569896
Wordfish (ONLY Norm.),-0.1690647804853505,0.012244444545184585
SemScale (ONLY Norm.),0.29340446231256334,0.149991443442047
BERT,0.1258452841991648,0.3897202048319467
BERT (Norm.),0.1258452872910562,0.3897201317048468
Linear Regression Token Counts,0.4413948178205003,0.4764755233172498
Linear Regression Token Counts (Norm.),0.4413948178205003,0.4764755233172499
Feed Forward Token Counts,0.3073741817927499,0.08534952923628776
Feed Forward Token Counts (Norm.),0.30737404465557605,0.0853500217470577
Linear Regression Embeddings,0.3619238100191019,0.2274850762435339
Linear Regression Embeddings (Norm.),0.36192384220599805,0.22748539626623515
Feed Forward Embeddings,0.3926562656926604,0.354045533947166
Feed Forward Embeddings (Norm.),0.39194096352031965,0.35874092704109245
