method,mean,std
Wordscores,0.23676306242342965,0.008691483031115846
Wordscores (Norm.),0.23676306242342965,0.008691483031115846
Wordfish (ONLY Norm.),-0.10725724269410099,0.04362087905773736
SemScale (ONLY Norm.),0.493853544153914,0.0636514468309769
BERT,0.2638081105239679,0.4425311596770096
BERT (Norm.),0.2638081105239679,0.4425311596770096
Linear Regression Token Counts,0.3778436509351013,0.3706135979487668
Linear Regression Token Counts (Norm.),0.3778436509351013,0.3706135979487668
Feed Forward Token Counts,0.3065022173431681,0.13065849624664194
Feed Forward Token Counts (Norm.),0.3065022173431681,0.13065849624664194
Linear Regression Embeddings,0.2656382770156337,0.2936987220381658
Linear Regression Embeddings (Norm.),0.2656382770156337,0.2936987220381658
Feed Forward Embeddings,0.39333634904975584,0.3651117013234036
Feed Forward Embeddings (Norm.),0.39333634904975584,0.3651117013234036
