method,mean,std
Feed Forward Token Counts,0.07728664956753357,0.006841417708105399
Feed Forward Token Counts (Norm.),0.07857874973387144,0.0073564175850066695
Linear Regression Token Counts,0.08968131283054236,0.005741815196322588
Wordscores (Norm.),0.11456664520130724,0.01106679489412158
Wordscores,0.11850056797330177,0.007508042427041787
BERT,0.12355272250126152,0.005227169567128058
Linear Regression Embeddings,0.12397906353428842,0.008586151098133753
BERT (Norm.),0.14345001223340564,0.008975692582867055
Linear Regression Token Counts (Norm.),0.14345001223340564,0.008975692582867055
Linear Regression Embeddings (Norm.),0.14633715884580673,0.018834427776625924
Feed Forward Embeddings (Norm.),0.17689366609058552,0.03498208566601187
SemScale (ONLY Norm.),0.17769286320162947,0.03399914189641195
Feed Forward Embeddings,0.19816938959881453,0.09654971793502848
Wordfish (ONLY Norm.),0.21259476582766648,0.023973092963209347
