method,mean,std
Wordscores,0.5845021660945936,0.009125456630778682
Wordscores (Norm.),0.5845021660945936,0.009125456630778713
Wordfish (ONLY Norm.),-0.07867791300978746,0.1123331872769499
SemScale (ONLY Norm.),-0.02110585762240036,0.07232376536932021
BERT,0.11858822694823343,0.09674401132374028
BERT (Norm.),0.1185882265684024,0.09674400057086976
Linear Regression Token Counts,0.2805927612333038,0.2822582769513868
Linear Regression Token Counts (Norm.),0.28059276123330384,0.2822582769513868
Feed Forward Token Counts,0.3111705228024825,0.3141202845249674
Feed Forward Token Counts (Norm.),0.31117052220662106,0.31412028396335107
Linear Regression Embeddings,0.17597692956738556,0.22371973301903633
Linear Regression Embeddings (Norm.),0.17597693343397838,0.2237197314631315
Feed Forward Embeddings,0.20378980507246497,0.2588808969107707
Feed Forward Embeddings (Norm.),0.20379029842715587,0.25887667739524545
