method,mean,std
Wordscores,0.6189510894018574,0.02178919581084821
Wordscores (Norm.),0.6189510894018574,0.02178919581084821
Wordfish (ONLY Norm.),-0.08104262787143393,0.11200858928425568
SemScale (ONLY Norm.),-0.02366993555191659,0.08077544890820348
BERT,0.11508568632271347,0.09669473457301211
BERT (Norm.),0.11508568632271347,0.09669473457301211
Linear Regression Token Counts,0.28488266282925306,0.28646710781033774
Linear Regression Token Counts (Norm.),0.28488266282925306,0.28646710781033774
Feed Forward Token Counts,0.3085389659995661,0.3117392581091901
Feed Forward Token Counts (Norm.),0.3085389659995661,0.3117392581091901
Linear Regression Embeddings,0.20305649449824975,0.2731829336059586
Linear Regression Embeddings (Norm.),0.20305649449824975,0.2731829336059586
Feed Forward Embeddings,0.20278361312109502,0.2577406059524199
Feed Forward Embeddings (Norm.),0.20278361312109502,0.2577406059524199
