method,mean,std
Feed Forward Token Counts,0.0854043642602381,0.006490480621814964
Feed Forward Token Counts (Norm.),0.08617502484016258,0.007075753609058194
Linear Regression Token Counts,0.11009358854990244,0.006090090970270686
Wordscores (Norm.),0.14284078436205785,0.020333984840979608
Wordscores,0.15430034404098322,0.013252811541383367
Linear Regression Embeddings,0.16028962058124224,0.012574399361562356
Linear Regression Embeddings (Norm.),0.16935352083790467,0.006925087074961169
BERT,0.17161083230109797,0.020303285381842562
BERT (Norm.),0.19298855323695346,0.016747898313056352
Linear Regression Token Counts (Norm.),0.19298855323695346,0.016747898313056352
Feed Forward Embeddings (Norm.),0.2002090208883799,0.06482438847572751
SemScale (ONLY Norm.),0.20050096536858705,0.02705782526247218
Wordfish (ONLY Norm.),0.21262422041693868,0.023628803561528935
Feed Forward Embeddings,0.21679821250890394,0.1134877466975818
