method,mean,std
Wordscores,0.612616035856244,0.02567366598095846
Wordscores (Norm.),0.612616035856244,0.025673665980958462
Wordfish (ONLY Norm.),0.09459356573262948,0.10377373986179296
SemScale (ONLY Norm.),0.0418016560985211,0.08309452525035321
BERT,0.10310409288913622,0.06387273486998564
BERT (Norm.),0.10310409253047285,0.06387273665484051
Linear Regression Token Counts,0.30284666853850606,0.3032990902728173
Linear Regression Token Counts (Norm.),0.30284666853850606,0.3032990902728173
Feed Forward Token Counts,0.3508741298250187,0.3515529496333165
Feed Forward Token Counts (Norm.),0.35087412996004874,0.3515529497571345
Linear Regression Embeddings,0.11858744986653061,0.11615573531613571
Linear Regression Embeddings (Norm.),0.11858744782554945,0.11615573731593967
Feed Forward Embeddings,0.1530032416989277,0.17445778578349944
Feed Forward Embeddings (Norm.),0.15300324459097384,0.1744577946545435
