method,mean,std
Wordscores,0.6561430696426089,0.031580359037972495
Wordscores (Norm.),0.6561430696426089,0.031580359037972495
Wordfish (ONLY Norm.),0.09084309895136558,0.09200961898183514
SemScale (ONLY Norm.),0.04386117208382757,0.08081918489145244
BERT,0.09665076973249166,0.052998008320378445
BERT (Norm.),0.09665076973249166,0.052998008320378445
Linear Regression Token Counts,0.3063674547551876,0.30683633384538955
Linear Regression Token Counts (Norm.),0.3063674547551876,0.30683633384538955
Feed Forward Token Counts,0.3506661088447945,0.35142714823204535
Feed Forward Token Counts (Norm.),0.3506661088447945,0.35142714823204535
Linear Regression Embeddings,0.11372557789044994,0.1120862889725789
Linear Regression Embeddings (Norm.),0.11372557789044994,0.1120862889725789
Feed Forward Embeddings,0.11050940307235416,0.09487153294150201
Feed Forward Embeddings (Norm.),0.11050940307235416,0.09487153294150201
