method,mean,std
Feed Forward Token Counts,0.0942417885223652,0.013422228577401201
Feed Forward Token Counts (Norm.),0.09426659987623105,0.01341979038725925
Linear Regression Token Counts,0.13071619966471498,0.012665005015524176
Wordscores (Norm.),0.18146946654498203,0.011734883965418219
Wordscores,0.22790208601700032,0.0011721435705161372
Linear Regression Embeddings (Norm.),0.23784195866236413,0.015841194983254404
Linear Regression Embeddings,0.2386746821528288,0.009086890577972325
BERT,0.24704367261794125,0.017840373612348085
BERT (Norm.),0.2500482461291432,0.01272518118244509
Linear Regression Token Counts (Norm.),0.2500482461291432,0.01272518118244509
Wordfish (ONLY Norm.),0.28361561646844147,0.02324513980915743
SemScale (ONLY Norm.),0.30397823855205663,0.035620277947314476
Feed Forward Embeddings (Norm.),0.40153843715009907,0.13224372674259977
Feed Forward Embeddings,0.40735652176423437,0.13588716552265576
