method,mean,std
Wordscores,0.6893958164737757,0.028961777776983735
Wordscores (Norm.),0.6893958164737758,0.028961777776983822
Wordfish (ONLY Norm.),0.1205688923217287,0.09485996799288413
SemScale (ONLY Norm.),-0.0016916184280801327,0.1378512604141251
BERT,0.13064330588083578,0.13213298311647204
BERT (Norm.),0.13064330473275762,0.13213298128842715
Linear Regression Token Counts,0.34870313887707977,0.3497169367057599
Linear Regression Token Counts (Norm.),0.34870313887707977,0.3497169367057598
Feed Forward Token Counts,0.39495617053093474,0.3957502290550395
Feed Forward Token Counts (Norm.),0.3949561712269859,0.395750229701064
Linear Regression Embeddings,0.1450830016286279,0.1479861953519116
Linear Regression Embeddings (Norm.),0.145082998128943,0.1479861916544383
Feed Forward Embeddings,,
Feed Forward Embeddings (Norm.),,
