method,mean,std
Wordscores,0.7288653815823257,0.024502709584192033
Wordscores (Norm.),0.7288653815823257,0.024502709584192033
Wordfish (ONLY Norm.),0.12388497888083776,0.08734862479151019
SemScale (ONLY Norm.),-0.03120408379352771,0.15641070290748216
BERT,0.12961256893357412,0.1317382843552067
BERT (Norm.),0.12961256893357412,0.1317382843552067
Linear Regression Token Counts,0.35831490818790096,0.3593666323495824
Linear Regression Token Counts (Norm.),0.35831490818790096,0.3593666323495824
Feed Forward Token Counts,0.38219273325663145,0.38276340226991024
Feed Forward Token Counts (Norm.),0.38219273325663145,0.38276340226991024
Linear Regression Embeddings,0.14309411123159815,0.1416470655860796
Linear Regression Embeddings (Norm.),0.14309411123159815,0.1416470655860796
Feed Forward Embeddings,,
Feed Forward Embeddings (Norm.),,
