method,mean,std
Wordscores,0.2502569703803725,0.00019501623704792275
BERT,0.2528016308408431,0.0038101991621335147
Linear Regression Embeddings,0.25355337056243255,0.002307949183200863
SemScale (ONLY Norm.),0.28140581469377846,0.004993581317033416
BERT (Norm.),0.28903660799618464,0.006571285073815475
Linear Regression Token Counts (Norm.),0.28903660799618464,0.006571285073815475
Linear Regression Embeddings (Norm.),0.2894040669727056,0.006967795649845488
Wordscores (Norm.),0.29481411349616976,0.008708299099293415
Feed Forward Token Counts,0.31752428896577334,0.01121122854912683
Feed Forward Token Counts (Norm.),0.3287314744751493,0.013157980821119367
Linear Regression Token Counts,0.35004980265832325,0.015798464215270012
Wordfish (ONLY Norm.),0.35575167947014436,0.025971510587373913
Feed Forward Embeddings (Norm.),0.36932067917185823,0.08708526340881735
Feed Forward Embeddings,0.4229876436261213,0.08598252320971322
