method,mean,std
Wordscores,-0.02345159748123654,0.02688130009771261
Wordscores (Norm.),-0.023451597481236534,0.026881300097712602
Wordfish (ONLY Norm.),-0.03633075815621069,0.07863008515643932
SemScale (ONLY Norm.),-0.031709114490726456,0.045820389829622846
BERT,0.2742319884208019,0.37705846161254475
BERT (Norm.),0.27423201841941147,0.3770583133157742
Linear Regression Token Counts,0.2523175421966991,0.3599899257044455
Linear Regression Token Counts (Norm.),0.252317542196699,0.3599899257044453
Feed Forward Token Counts,0.19292811381579306,0.32572675552314123
Feed Forward Token Counts (Norm.),0.19292810187142057,0.3257267498546349
Linear Regression Embeddings,0.29350827056237216,0.38503959230899343
Linear Regression Embeddings (Norm.),0.29350824976879963,0.38503955174281596
Feed Forward Embeddings,,
Feed Forward Embeddings (Norm.),,
