method,mean,std
Wordscores,-0.026237501792009482,0.02995680485000415
Wordscores (Norm.),-0.026237501792009482,0.02995680485000415
Wordfish (ONLY Norm.),-0.034224340036640856,0.08315809791542209
SemScale (ONLY Norm.),-0.03081702874483814,0.03953307558360467
BERT,0.2371553234791143,0.31916728676982237
BERT (Norm.),0.2371553234791143,0.31916728676982237
Linear Regression Token Counts,0.21008713576436971,0.3228543781788037
Linear Regression Token Counts (Norm.),0.21008713576436971,0.3228543781788037
Feed Forward Token Counts,0.18333468460219007,0.315678474324449
Feed Forward Token Counts (Norm.),0.18333468460219007,0.315678474324449
Linear Regression Embeddings,0.2748471067723216,0.3869235634364126
Linear Regression Embeddings (Norm.),0.2748471067723216,0.3869235634364126
Feed Forward Embeddings,,
Feed Forward Embeddings (Norm.),,
